Sla_code	Sla_name	Total_pers	TSD_Code
31102	Cannon Hill	3903	302
31113	Carina	8359	302
31116	Carina Heights	5601	302
31127	Chapel Hill	9936	302
31132	Chelmer	2544	302
31135	Chermside	6297	302
31151	Clayfield	9054	302
31154	Coopers Plains	3926	302
31157	Coorparoo	12763	302
31162	Corinda	3988	302
31214	Fairfield	2184	302
31222	Fig Tree Pocket	2587	302
31241	Graceville	3609	302
31244	Grange	3317	302
31247	Greenslopes	7471	302
31255	Hamilton	4257	302
31258	Hawthorne	3699	302
31271	Hendra	3441	302
31282	Holland Park	7134	302
31285	Holland Park West	5305	302
31293	Indooroopilly	9849	302
31296	Jamboree Heights	3357	302
31301	Jindalee	5302	302
31312	Kedron	11029	302
31318	Kenmore	8014	302
31345	Lutwyche	2548	302
31356	MacGregor (QLD)	5426	302
31375	Middle Park	4391	302
31391	Moorooka	8408	302
31397	Morningside	6931	302
31402	Mount Gravatt	3063	302
31405	Mount Gravatt East	9019	302
31408	Mount Ommaney	2009	302
31413	Murarrie	2356	302
31416	Nathan	1582	302
31424	Newmarket	3680	302
31432	Norman Park	5977	302
31446	Nundah	7742	302
31451	Oxley (QLD)	5662	302
31487	Riverhills	3304	302
31492	Robertson	4110	302
31498	Rocklea	1448	302
31506	St Lucia	9824	302
31511	Salisbury	5159	302
31517	Seventeen Mile Rocks	4356	302
31522	Sherwood	4387	302
31533	Stafford	5538	302
31536	Stafford Heights	7283	302
31547	Sunnybank	7436	302
31558	Taringa	6236	302
31563	Tarragindi	9050	302
31574	Toowong	13093	302
31588	Upper Mount Gravatt	7238	302
31604	Wavell Heights	8241	302
31612	Westlake	3360	302
31618	Wilston	3209	302
31623	Windsor	5834	302
31634	Wooloowin	5453	302
31645	Yeerongpilly	2119	302
31648	Yeronga	4638	302
31001	Acacia Ridge	6489	303
31012	Algester	7254	303
31018	Anstead	960	303
31023	Archerfield	613	303
31034	Aspley	11020	303
31037	Bald Hills	5783	303
31045	Banyo	4702	303
31053	Bellbowrie	3829	303
31057	Belmont-Mackenzie	3194	303
31062	Berrinba-Karawatha	296	303
31064	Boondall	7256	303
31072	Bracken Ridge	12845	303
31075	Bridgeman Downs	3546	303
31078	Brighton	8678	303
31083	Brookfield (incl. Mt C'tha)	2645	303
31091	Burbank	1170	303
31094	Calamvale	6150	303
31105	Capalaba West	380	303
31108	Carindale	10205	303
31121	Carseldine	5757	303
31124	Chandler	938	303
31138	Chermside West	5544	303
31167	Darra-Sumner	3714	303
31173	Deagon	3250	303
31176	Doolandella-Forest Lake	6468	303
31184	Durack	5641	303
31198	Eight Mile Plains	9372	303
31203	Ellen Grove	2493	303
31206	Enoggera	6188	303
31211	Everton Park	7668	303
31217	Ferny Grove	5065	303
31236	Geebung	4187	303
31252	Gumdale	929	303
31265	Hemmant-Lytton	1660	303
31288	Inala	13287	303
31323	Kenmore Hills	2246	303
31326	Keperra	7303	303
31331	Kuraby	1673	303
31337	Lota	2556	303
31353	McDowall	5142	303
31364	Manly	3427	303
31367	Manly West	8392	303
31372	Mansfield	8187	303
31383	Mitchelton	5882	303
31386	Moggill	710	303
31435	Northgate	3619	303
31438	Nudgee	1873	303
31443	Nudgee Beach	314	303
31456	Pallara-Heathwood-Larapinta	712	303
31463	Parkinson-Drewvale	2428	303
31465	Pinjarra Hills	440	303
31467	Pinkenba-Eagle Farm	482	303
31473	Pullenvale	1656	303
31476	Ransome	430	303
31484	Richlands	859	303
31495	Rochedale	1309	303
31503	Runcorn	9229	303
31514	Sandgate	6271	303
31541	Stretton	2079	303
31552	Sunnybank Hills	14166	303
31556	Taigum-Fitzgibbon	3550	303
31566	The Gap (incl. Enoggera Res.)	15004	303
31571	Tingalpa	7290	303
31582	Upper Brookfield	507	303
31585	Upper Kedron	339	303
31593	Virginia	1800	303
31596	Wacol	5155	303
31601	Wakerley	715	303
31615	Willawong	236	303
31626	Wishart	8442	303
31637	Wynnum	10589	303
31642	Wynnum West	9013	303
31653	Zillmere	7651	303
34601	Browns Plains	23944	303
34603	Carbrook-Cornubia	2894	303
34605	Daisy Hill-Priestdale	4325	303
34608	Greenbank - Pt B	7732	303
34612	Kingston (QLD)	13148	303
34615	Loganholme	10988	303
34618	Loganlea	6573	303
34623	Marsden	16502	303
34631	Rochedale South	15672	303
34634	Shailer Park	10275	303
34637	Slacks Creek	11665	303
34642	Springwood	6374	303
34645	Tanah Merah	902	303
34651	Underwood	2675	303
34654	Waterford West	4859	303
34656	Woodridge	18039	303
34663	Logan (C) Bal	1892	303
35951	Albany Creek	12001	303
35954	Arana Hills	6347	303
35957	Bray Park	8151	303
35962	Everton Hills	5206	303
35965	Ferny Hills	7642	303
35968	Kallangur	14405	303
35973	Lawnton	5315	303
35974	Petrie	7263	303
35976	Strathpine	10021	303
35983	Pine Rivers (S) Bal	26841	303
36201	Clontarf	8048	303
36204	Margate-Woody Point	10224	303
36206	Redcliffe-Scarborough	17789	303
36208	Rothwell-Kippa-Ring	11965	303
36251	Alexandra Hills	17267	303
36254	Birkdale	11136	303
36257	Capalaba	16213	303
36262	Cleveland	10939	303
36264	Ormiston	3593	303
36265	Redland Bay	5559	303
36267	Sheldon-Mt Cotton	3204	303
36268	Thorneside	3369	303
36271	Thornlands	7131	303
36273	Victoria Point	9760	303
36276	Wellington Point	6556	303
36283	Redland (S) Bal	5374	303
31394	Moreton Island	455	303
33463	Bethania-Waterford	4657	304
33466	Eagleby	8466	304
33496	Gold Coast (C) Bal in BSD	8438	304
33471	Edens Landing-Holmview	3945	304
33461	Beenleigh	7428	304
33476	Mt Warren Park	5283	304
33494	Windaroo-Bannockburn	2132	304
33532	Coomera-Cedar Creek	6247	304
33547	Hope Island	2765	304
33575	Paradise Point	3921	304
33571	Oxenford	6590	304
33543	Helensvale	10022	304
33545	Hollywell	2623	304
33531	Coombabah	7053	304
33542	Guanaba-Currumbin Valley	14145	304
33583	Runaway Bay	7707	304
33497	Arundel	3958	304
33507	Biggera Waters	5013	304
33553	Labrador	13972	304
33555	Main Beach-Broadwater	4772	304
33567	Nerang	19113	304
33577	Parkwood	7344	304
33585	Southport	22059	304
33541	Ernest-Molendinar	3049	304
33501	Ashmore	10267	304
33587	Surfers Paradise	24086	304
33525	Carrara-Merrimac	11661	304
33504	Benowa	6223	304
33517	Bundall	3878	304
33515	Broadbeach Waters	8158	304
33513	Broadbeach	5183	304
33593	Worongary-Tallai	8191	304
33581	Robina-Clear Island Waters	13257	304
33561	Mermaid Waters	9793	304
33557	Mermaid Beach	6083	304
33565	Mudgeeraba	8103	304
33548	Kerrydale-Stephens	7871	304
33563	Miami	6567	304
33523	Burleigh Waters	9540	304
33521	Burleigh Heads	8425	304
33573	Palm Beach	13657	304
33537	Elanora	9416	304
33533	Currumbin	2696	304
33535	Currumbin Waters	8638	304
33591	Tugun	4494	304
33512	Bilinga	1668	304
33527	Coolangatta	6618	304
33050	Esk (S)	13391	305
