Sla_id	Sla_name	TSD_Code
31438	Nudgee	303
31443	Nudgee Beach	303
31456	Pallara-Heathwood-Larapinta	303
31463	Parkinson-Drewvale	303
31465	Pinjarra Hills	303
31467	Pinkenba-Eagle Farm	303
31473	Pullenvale	303
31476	Ransome	303
31484	Richlands	303
31495	Rochedale	303
31503	Runcorn	303
31514	Sandgate	303
31541	Stretton	303
31552	Sunnybank Hills	303
31556	Taigum-Fitzgibbon	303
31566	The Gap (incl. Enoggera SF)	303
31571	Tingalpa	303
31577	Underwood - Pt A	303
31582	Upper Brookfield	303
31585	Upper Kedron	303
31593	Virginia	303
31596	Wacol	303
31601	Wakerley	303
31615	Willawong	303
31626	Wishart	303
31637	Wynnum	303
31642	Wynnum West	303
31653	Zillmere	303
34601	Browns Plains	303
34603	Carbrook-Cornubia	303
34605	Daisy Hill-Priestdale	303
34608	Greenbank - Pt B	303
34612	Kingston	303
34615	Loganholme	303
34618	Loganlea	303
34623	Marsden	303
34631	Rochedale South	303
34634	Shailer Park	303
34637	Slacks Creek	303
34642	Springwood	303
34645	Tanah Merah	303
34648	Underwood - Pt B	303
34654	Waterford West	303
34656	Woodridge	303
34663	Logan (C)Bal	303
35951	Albany Creek	303
35954	Arana Hills	303
35957	Bray Park	303
35962	Everton Hills	303
35965	Ferny Hills	303
35968	Kallangur	303
35973	Lawnton	303
35974	Petrie	303
35976	Strathpine	303
35983	Pine Rivers (S)Bal	303
36200	Redcliffe (C)	303
36251	Alexandra Hills	303
36254	Birkdale	303
36257	Capalaba	303
36262	Cleveland	303
36264	Ormiston	303
36265	Redland Bay	303
36267	Sheldon-Mt Cotton	303
36268	Thorneside	303
36271	Thornlands	303
36273	Victoria Point	303
36276	Wellington Point	303
36283	Redland (S)Bal	303
31394	Moreton Island	303
30051	Beenleigh	304
30053	Bethania-Waterford	304
30055	Eagleby	304
30058	Edens Landing-Holmview	304
30061	Mt Warren Park	304
30063	Windaroo-Bannockburn	304
30064	Albert (S)Bal in BSD	304
30065	Broadbeach Waters	304
30067	Burleigh Waters	304
30072	Carrara-Merrimac	304
30074	Currumbin Waters	304
30077	Elanora	304
30082	Helensvale	304
30083	Hope Island	304
30086	Kerrydale-Stephens	304
30088	Mermaid Waters	304
30091	Mudgeeraba	304
30093	Nerang	304
30094	Oxenford	304
30096	Robina-Clear Island Waters	304
30097	Worongary-Tallai	304
30098	Albert (S)- Pt B Bal	304
33452	Arundel	304
33453	Ashmore	304
33454	Benowa	304
33457	Biggera Waters	304
33458	Bilinga	304
33462	Broadbeach	304
33465	Bundall	304
33468	Burleigh Heads	304
33472	Coolangatta	304
33473	Coombabah	304
33474	Currumbin	304
33478	Ernest-Molendinar	304
33482	Hollywell	304
33483	Labrador	304
33485	Main Beach-Broadwater	304
33486	Mermaid Beach	304
33488	Miami	304
33491	Palm Beach	304
33492	Paradise Point	304
33493	Parkwood	304
33495	Runaway Bay	304
33498	Southport	304
33503	Surfers Paradise	304
33506	Tugun	304
30551	Greenbank - Pt A	305
30554	Beaudesert (S)Bal in BSD	305
30557	Beaudesert (S)- Pt B	305
30800	Boonah (S)	305
33050	Esk (S)	305
33250	Gatton (S)	305
33950	Ipswich (C)	305
34450	Laidley (S)	305
35202	Bellbird Park	305
35203	Camira	305
35204	Carole Park	305
35207	Karalee	305
35214	Moreton (S)Bal in BSD - Nth	305
35217	Moreton (S)Bal in BSD - Sth	305
35231	Moreton (S)- Pt B	305
32001	Caboolture (S)- Pt A	306
32031	Caboolture (S)- Pt B	306
32131	Caloundra (C)- Pt A	306
32134	Caloundra (C)- Pt B	306
34250	Kilcoy (S)	306
34901	Maroochy (S)- Pt A	306
34904	Maroochy (S)- Pt B	306
35751	Noosa (S)- Pt A	306
35754	Noosa (S)- Pt B	306
30700	Biggenden (S)	307
